구분,설치목적,설치장소유형,설치위치,도로명,지번,개수,위도,경도,행정동
가로등,,,,,,,35.87159493,128.6123314,동인동
가로등,,,,,,,35.87129938,128.6124522,동인동
가로등,,,,,,,35.87433888,128.6097071,신암2동
가로등,,,,,,,35.87417249,128.6100238,동인동
가로등,,,,,,,35.87400241,128.6103453,동인동
가로등,,,,,,,35.87382384,128.6106654,동인동
가로등,,,,,,,35.87350577,128.6104415,동인동
가로등,,,,,,,35.87369086,128.6105423,동인동
가로등,,,,,,,35.87386318,128.6102326,동인동
가로등,,,,,,,35.87403424,128.6099134,동인동
가로등,,,,,,,35.87420024,128.6095997,동인동
가로등,,,,,,,35.8702361,128.6043394,동인동
가로등,,,,,,,35.86932018,128.6042242,동인동
가로등,,,,,,,35.86965554,128.6042362,동인동
가로등,,,,,,,35.87013571,128.6043182,동인동
가로등,,,,,,,35.87062194,128.6043957,동인동
가로등,,,,,,,35.8711367,128.6044872,동인동
가로등,,,,,,,35.87166436,128.604571,동인동
가로등,,,,,,,35.87197474,128.6046012,동인동
가로등,,,,,,,35.87044431,128.604125,동인동
가로등,,,,,,,35.87156453,128.6043215,동인동
가로등,,,,,,,35.87124169,128.6042685,동인동
가로등,,,,,,,35.87102106,128.6042307,동인동
가로등,,,,,,,35.87066816,128.6041643,동인동
가로등,,,,,,,35.87041962,128.6041233,동인동
가로등,,,,,,,35.8701088,128.6040704,동인동
가로등,,,,,,,35.86979268,128.6040125,동인동
가로등,,,,,,,35.86964548,128.6039848,동인동
가로등,,,,,,,35.86948175,128.6039572,동인동
가로등,,,,,,,35.87093059,128.6027656,동인동
가로등,,,,,,,35.87064536,128.6040416,동인동
가로등,,,,,,,35.87070208,128.6038229,동인동
가로등,,,,,,,35.87074012,128.6036326,동인동
가로등,,,,,,,35.87078703,128.6034278,동인동
가로등,,,,,,,35.87085735,128.6031058,동인동
가로등,,,,,,,35.87092766,128.6027802,동인동
가로등,,,,,,,35.87098044,128.6025497,동인동
가로등,,,,,,,35.87104189,128.6022425,동인동
가로등,,,,,,,35.87098714,128.6018773,동인동
가로등,,,,,,,35.87108111,128.6015132,동인동
가로등,,,,,,,35.87113966,128.6012297,동인동
가로등,,,,,,,35.87121883,128.6008876,동인동
가로등,,,,,,,35.87201353,128.600963,동인동
가로등,,,,,,,35.87030147,128.6004655,동인동
가로등,,,,,,,35.8706758,128.6005792,동인동
가로등,,,,,,,35.87111188,128.6007145,동인동
가로등,,,,,,,35.87161154,128.6008434,동인동
가로등,,,,,,,35.87204541,128.6009712,동인동
가로등,,,,,,,35.87247601,128.6010935,동인동
가로등,,,,,,,35.87282235,128.601197,동인동
가로등,,,,,,,35.87339567,128.6013607,동인동
가로등,,,,,,,35.8723624,128.6008629,동인동
가로등,,,,,,,35.8735372,128.6012043,동인동
가로등,,,,,,,35.87330118,128.6011381,동인동
가로등,,,,,,,35.8730908,128.6010786,동인동
가로등,,,,,,,35.8728793,128.6010163,동인동
가로등,,,,,,,35.87261069,128.600944,동인동
가로등,,,,,,,35.87246224,128.6008937,동인동
가로등,,,,,,,35.87224678,128.6008327,동인동
가로등,,,,,,,35.87201644,128.6007689,동인동
가로등,,,,,,,35.87184267,128.6007185,동인동
가로등,,,,,,,35.87164367,128.6006609,동인동
가로등,,,,,,,35.87142395,128.6005855,동인동
가로등,,,,,,,35.87073415,128.6004004,동인동
가로등,,,,,,,35.87111703,128.6005049,동인동
가로등,,,,,,,35.87090279,128.6004445,동인동
가로등,,,,,,,35.87069984,128.6003899,동인동
가로등,,,,,,,35.87040179,128.6003008,동인동
가로등,,,,,,,35.87210036,128.597265,성내1동
가로등,,,,,,,35.87211967,128.5943779,성내1동
가로등,,,,,,,35.87219051,128.5946891,성내1동
가로등,,,,,,,35.87223514,128.594914,성내1동
가로등,,,,,,,35.87229532,128.5952185,성내1동
가로등,,,,,,,35.87234045,128.5954391,성내1동
가로등,,,,,,,35.87233146,128.5962021,성내1동
가로등,,,,,,,35.87223553,128.5966385,성내1동
가로등,,,,,,,35.87216304,128.5969704,성내1동
가로등,,,,,,,35.87210825,128.5972298,성내1동
가로등,,,,,,,35.87205538,128.5974796,성내1동
가로등,,,,,,,35.8720123,128.5976851,성내1동
가로등,,,,,,,35.87196468,128.5979046,성내1동
가로등,,,,,,,35.87190413,128.5981744,성내1동
가로등,,,,,,,35.87185138,128.5984304,성내1동
가로등,,,,,,,35.87180119,128.5986675,성내1동
가로등,,,,,,,35.87175198,128.5988984,성내1동
가로등,,,,,,,35.87168933,128.5991898,성내1동
가로등,,,,,,,35.87163724,128.5994241,성내1동
가로등,,,,,,,35.87157736,128.5997041,성내1동
가로등,,,,,,,35.87152371,128.5999548,동인동
가로등,,,,,,,35.87147112,128.6001953,동인동
가로등,,,,,,,35.87141296,128.6004656,동인동
가로등,,,,,,,35.87160502,128.5913178,성내2동
가로등,,,,,,,35.87200245,128.5937555,성내2동
가로등,,,,,,,35.87196284,128.5935682,성내2동
가로등,,,,,,,35.87192573,128.5933725,성내2동
가로등,,,,,,,35.87187508,128.593114,성내2동
가로등,,,,,,,35.8716279,128.5915807,성내2동
가로등,,,,,,,35.87160346,128.5913806,성내2동
